tweet_id,name,party,state,text,date
t_1420039934229073922,Richard Durbin,D,IL,"committee pushing doj waiver months. now it, we’ll proceed interview rele…","7/27/2021, 8:14:38 AM"
t_1420039775793422342,Mariannette Miller-Meeks,R,IA,"happening now: @selectgop hearing, watch here:","7/27/2021, 8:14:00 AM"
t_1420039676786888708,Rick Larsen,D,WA,"support comprehensive investigation hold accountable organized, paid & executed attack…","7/27/2021, 8:13:36 AM"
t_1420039674693890052,Rick Larsen,D,WA,"january 6th, violent domestic terrorists stormed u.s. capitol building, attacked law enforcement & threatene…","7/27/2021, 8:13:36 AM"
t_1420039675658522630,Rick Larsen,D,WA,"today, house @january6thcmte hears sobering testimony members u.s. @capitolpolice & the…","7/27/2021, 8:13:36 AM"
t_1420039646642425856,Derek Kilmer,D,WA,spent outstanding day neah bay meeting leadership makah tribe discuss efforts ens…,"7/27/2021, 8:13:29 AM"
t_1420039437480775685,Warren Davidson,R,OH,"spending addiction definitely bipartisan, now nancy pelosi wants lace budgetary fentanyl.…","7/27/2021, 8:12:39 AM"
t_1420039429377437703,Katherine Clark,D,MA,make mistake: insurrection fueled white supremacy. #january6thcommittee,"7/27/2021, 8:12:37 AM"
t_1420039353078849536,Warren Davidson,R,OH,"rt @juliemason: ohio gop rep. warren davidson vaccine mandates, drafting women coming fight debt limit: @warrendavidson…","7/27/2021, 8:12:19 AM"
t_1420039286985039874,Suzan DelBene,D,WA,"historic droughts, heat, & wildfires devastating farmers, ranchers, & communities across western u.s. i’m…","7/27/2021, 8:12:03 AM"
t_1420038990267392008,Gary Palmer,R,AL,rt @goppolicy: biden administration's open border policies direct threat health safety american families.,"7/27/2021, 8:10:52 AM"
t_1420038958705266690,Patrick Fallon,R,TX,pelosi afraid @repjimbanks @jim_jordan say?,"7/27/2021, 8:10:45 AM"
t_1420038907727695875,Alma Adams,D,NC,"rt @repmcgovern: 6 months january 6th attack capitol, republican leaders still refuse meet officer michael fanone.…","7/27/2021, 8:10:33 AM"
t_1420038774013276161,Stephanie Bice,R,OK,"house democrats value national defense, border security right life, h.r. 4502 proves that. demo…","7/27/2021, 8:10:01 AM"
